date,forecast_AR,forecast_ADL,forecast_RF,actual,forecast_Ensemble,CI_Lower,CI_Upper
2006-10-01,2.692,3.18,1.403,3.423,2.425,-3.154,8.004
2007-01-01,2.731,3.791,3.485,1.202,3.336,-2.243,8.914
2007-04-01,2.936,2.403,3.894,2.44,3.078,-2.501,8.657
2007-07-01,2.76,1.363,2.317,2.297,2.147,-3.432,7.725
2007-10-01,2.874,1.147,2.318,2.505,2.113,-3.466,7.691
2008-01-01,2.866,0.664,2.323,-1.711,1.951,-3.628,7.53
2008-04-01,2.767,0.01,-0.434,2.375,0.781,-4.798,6.36
2008-07-01,2.482,-3.605,-2.769,-2.107,-1.297,-6.876,4.281
2008-10-01,2.743,-9.044,-4.508,-8.853,-3.603,-9.182,1.976
2009-01-01,2.127,-5.859,-6.05,-4.565,-3.261,-8.839,2.318
2009-04-01,1.608,-1.975,-3.857,-0.715,-1.408,-6.987,4.171
2009-07-01,2.124,3.333,4.66,1.402,3.372,-2.207,8.951
2009-10-01,2.549,3.899,4.489,4.3,3.646,-1.933,9.224
2010-01-01,2.832,3.993,5.478,1.933,4.101,-1.478,9.68
2010-04-01,3.04,7.073,4.817,3.852,4.977,-0.602,10.556
2010-07-01,2.869,2.35,3.707,3.073,2.975,-2.603,8.554
2010-10-01,3.029,5.354,2.299,2.095,3.561,-2.018,9.14
2011-01-01,2.928,3.793,2.683,-0.95,3.135,-2.444,8.713
2011-04-01,2.749,2.577,2.363,2.697,2.563,-3.016,8.142
2011-07-01,2.563,2.896,3.772,-0.089,3.077,-2.502,8.656
2011-10-01,2.831,6.869,3.439,4.467,4.38,-1.199,9.958
2012-01-01,2.695,4.231,3.47,3.34,3.465,-2.113,9.044
2012-04-01,3.095,2.258,2.711,1.781,2.688,-2.891,8.267
2012-07-01,2.944,5.109,2.386,0.576,3.48,-2.099,9.059
2012-10-01,2.762,2.528,2.318,0.462,2.536,-3.043,8.115
2013-01-01,2.645,5.924,3.412,3.927,3.994,-1.585,9.573
2013-04-01,2.732,0.996,2.123,1.069,1.95,-3.629,7.529
2013-07-01,2.98,4.295,1.98,3.391,3.085,-2.494,8.664
2013-10-01,2.774,4.166,3.368,3.472,3.436,-2.143,9.015
